0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
553.5408,811.5565,0.9738761,553.45557,795.9652,0.9456644,545.48376,793.84595,0.9935893,503.66684,794.5139,0.70943725,504.1827,793.2208,0.9609097,495.24734,878.06006,0.8256118,495.03934,878.76965,0.93297315,630.91516,900.10645,0.754666,635.06604,893.26306,0.90253896,747.7317,896.56775,0.7934811,759.6665,895.0952,0.93843013,491.10385,1111.1934,0.74240535,494.5864,1113.89,0.87421495,493.06064,1311.2524,0.8445054,506.36758,1317.9513,0.8812425,453.47372,1495.2683,0.8582746,463.55368,1520.6951,0.95567167
555.09204,809.76056,0.984265,552.20215,793.48724,0.92883754,545.50366,791.686,1.0038006,503.30832,794.2741,0.7613068,502.80453,793.3387,0.95497507,499.58762,875.1047,0.8602475,491.74802,877.9206,0.9515785,623.3861,903.18134,0.6745756,624.5664,894.18695,0.9731567,731.7146,898.82245,0.65130144,749.5763,895.278,0.99759233,497.9882,1112.2798,0.8115839,489.2955,1115.8494,0.8844019,499.21823,1312.5076,0.8135935,502.36984,1319.7344,0.8732569,457.14023,1494.9331,0.9064994,457.46054,1524.7324,0.90229243
554.5166,812.1665,0.99452406,552.44604,795.9022,0.9371486,546.3794,793.562,1.0102212,502.41812,796.6487,0.7425531,502.75198,795.35486,0.9843497,493.3784,879.39026,0.82835644,493.3002,880.19653,0.9233639,621.43945,908.2438,0.6342022,624.6422,898.9979,0.93171954,731.7804,903.17236,0.7485298,750.41565,901.5066,0.9408661,485.35587,1113.3989,0.7574854,488.20547,1118.1284,0.9004163,485.27628,1314.471,0.8116593,502.18173,1322.8147,0.88442075,447.98953,1502.127,0.8901826,458.33322,1531.6946,0.92901635
552.0803,811.78766,0.9868147,550.28925,795.7293,0.9377609,542.4841,793.685,0.97206205,502.99048,797.4715,0.710279,499.51166,795.8027,1.0104475,489.42358,877.4567,0.8119292,490.48657,878.008,0.9331817,619.2768,912.6868,0.59702706,624.4459,901.936,0.8901296,737.22925,909.3084,0.7144706,751.1902,909.8632,0.9276005,476.09912,1115.0547,0.7105082,484.55847,1118.9465,0.853151,474.8629,1317.3706,0.82252264,496.15002,1325.1079,0.87433803,440.01013,1508.2468,0.8739456,454.30914,1533.2866,0.9255402
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
549.0518,810.0017,0.9781731,547.49664,793.4241,0.95186174,541.08734,791.33167,1.0013893,496.7083,790.83997,0.7936833,498.16888,789.7532,0.96487653,490.66217,871.4558,0.85286105,484.24323,871.55884,0.89503765,619.4296,917.7213,0.6810961,621.6424,911.5105,0.8946278,733.04425,928.0925,0.64077055,752.222,937.1399,0.9956702,478.45813,1109.8613,0.7634499,473.14685,1113.1311,0.89523095,474.26294,1313.0864,0.8459581,491.3922,1320.3871,0.89932007,435.39508,1499.2759,0.90191513,444.25946,1529.7275,0.8983681
545.4857,807.01556,0.9509124,546.2252,791.8781,0.93291956,537.70154,789.3973,0.97742045,499.1981,787.066,0.6892449,494.91,785.0533,0.95966625,478.71115,864.3283,0.83099437,482.8602,865.0135,0.93564403,589.2019,926.2037,0.5813154,613.8783,923.54486,0.9212637,676.60254,948.45135,0.28794256,741.0779,967.31024,0.9868262,463.3929,1102.0862,0.77268755,469.08823,1105.103,0.8832013,464.51352,1307.3918,0.86799765,483.39462,1314.7263,0.8901418,429.27695,1494.4834,0.94653404,440.7698,1526.3657,0.9463792
547.6673,800.78613,0.9703425,547.7299,784.5243,0.9228176,540.8545,781.36206,0.98150456,496.88782,779.06104,0.7255887,497.97534,777.4905,0.96384674,472.6811,858.4424,0.80008584,482.15576,859.2749,0.9222853,581.08105,946.07654,0.5874015,597.4573,938.834,0.9493113,683.42017,995.9043,0.39142078,714.2302,1008.2407,0.95962006,459.96362,1096.0642,0.7438005,466.6598,1099.8743,0.8713542,459.20325,1302.7197,0.8550457,477.43713,1311.1317,0.8757701,425.34662,1486.3284,0.9047021,435.57098,1520.49,0.9392619
550.2296,796.8585,0.96499944,551.1653,779.4282,0.89879525,544.5337,776.64575,0.99779975,498.4033,772.20874,0.7405268,501.00668,770.3977,0.989762,476.44186,853.37415,0.83374023,479.51065,854.5552,0.94329786,568.3629,964.7001,0.72175455,573.96545,959.5802,0.94311416,657.23755,1046.084,0.74822533,665.96716,1057.4746,0.96687526,461.7175,1090.2977,0.78289527,458.6821,1092.9287,0.85707915,461.75644,1294.4872,0.8431519,470.40598,1301.8287,0.8784608,428.23373,1483.9106,0.8990475,428.03726,1512.0657,0.9082334
554.6864,781.3039,0.9882143,554.29565,763.96906,0.95359564,547.99426,761.0328,1.0075448,501.97238,759.97174,0.7891609,503.68655,757.96625,1.001057,464.571,844.6318,0.8136486,474.29684,847.83575,0.92006356,528.0116,973.517,0.63501143,541.3163,968.92706,0.93260074,592.0674,1086.2405,0.6398654,597.82825,1092.9907,0.8881585,437.91647,1078.7722,0.7234037,448.92435,1083.5256,0.83790123,444.51852,1283.5625,0.7652518,460.3287,1290.0066,0.8301426,415.79538,1471.5928,0.8397932,419.0759,1496.762,0.9647109
561.322,776.0833,0.9637514,562.31726,758.7485,0.9049927,555.18335,756.09247,1.003523,510.96024,754.5618,0.75409603,510.51047,752.82025,0.990121,471.3126,834.70746,0.8534709,476.6877,838.7546,0.9431875,481.0328,972.3776,0.6787802,492.4028,978.4998,0.9334154,509.30734,1090.5293,0.51707447,511.7358,1108.1814,0.85460687,421.86362,1063.9888,0.72924864,433.40073,1069.2439,0.8118446,429.00705,1271.0095,0.7928071,450.2327,1278.1274,0.87502944,404.05954,1458.2874,0.8328022,409.53128,1487.8291,0.91078025
569.29224,775.09064,1.009399,571.2085,757.8593,0.96348095,563.0038,755.82074,0.98241585,518.9254,753.81195,0.7731094,520.36914,752.73883,0.99046063,467.5591,833.70636,0.8353902,483.2856,847.83466,0.8661518,445.10672,969.8925,0.67375433,455.69492,983.50104,0.9062965,445.05447,1089.5051,0.61751646,422.02017,1105.8159,0.91856,404.9374,1047.2471,0.73369426,416.78653,1055.9241,0.7786609,417.93643,1259.8223,0.7641294,436.89737,1267.9451,0.8604359,393.62466,1447.8582,0.83633554,400.37466,1476.02,0.92520726
579.1294,780.041,0.93909526,581.04694,763.54004,0.93267626,572.87714,762.0314,0.9532479,529.41095,758.61975,0.7365428,531.11426,758.7007,0.96247816,490.22968,836.2733,0.789256,482.64648,848.0387,0.9036739,415.4088,958.3273,0.6220095,405.16034,959.53284,0.8686859,389.7915,1064.6052,0.4121312,351.58582,1074.4192,0.7875248,414.4563,1056.6289,0.72814864,410.22137,1062.4088,0.8312759,409.34985,1256.799,0.79882836,423.2622,1264.6354,0.88323206,385.22095,1436.7045,0.83952963,388.58063,1466.0416,0.93087626
588.275,796.14233,0.9633962,590.32324,777.35706,0.9285875,584.178,775.89087,0.96926427,539.4176,771.8263,0.7781509,543.698,772.7018,0.981346,503.9092,846.4757,0.8431612,487.55496,853.8065,0.93653035,396.20554,948.7837,0.5554955,386.77408,946.46765,0.93200296,290.75064,1022.75134,0.6014012,285.36893,1025.615,0.910021,377.88828,1050.6378,0.74869835,370.88425,1054.6581,0.8687191,394.08194,1249.3125,0.82896256,414.64932,1255.6393,0.87187326,376.72916,1431.8138,0.83104384,382.9318,1462.15,0.9137431
597.0282,825.0264,0.957194,600.74963,807.5866,0.8894099,592.51025,805.69147,0.9891525,549.22,799.3024,0.794305,549.6404,798.61676,0.9952703,501.51932,861.399,0.81396115,498.9578,875.61774,0.9179599,377.55472,940.07965,0.6072743,372.07803,933.4925,0.92653394,258.94913,986.01996,0.61930406,252.05984,980.48444,0.9089051,345.40506,1038.8833,0.73106897,349.86588,1047.2129,0.8498365,387.6094,1235.605,0.823625,404.51028,1239.9402,0.8840951,370.6191,1425.4966,0.90681434,378.25504,1452.1323,0.9204544
602.24695,851.88477,0.9840835,606.1919,834.1305,0.892545,599.2876,831.0619,0.98571986,552.6886,822.47986,0.77485883,555.41223,822.78625,0.9975232,503.15945,884.8507,0.8332816,500.81046,892.86304,0.93709195,369.4357,940.598,0.57813823,361.96317,930.24963,0.9068427,237.49857,956.474,0.49527073,231.3638,954.0763,0.9435129,326.5812,1044.9204,0.7529491,332.0815,1051.0746,0.8755826,382.50357,1235.2931,0.80596673,402.55997,1237.552,0.88062996,366.2814,1419.5961,0.9046397,371.40982,1451.7555,0.89349884
603.2914,878.5126,0.9888108,606.8175,862.15393,0.9055077,599.8004,859.4143,0.9673918,555.0029,847.5144,0.72765285,558.82495,849.8954,0.99027824,504.2363,904.44995,0.8395325,498.29037,915.8695,0.94340086,370.05533,944.91895,0.4782055,355.28537,936.3594,0.9180683,390.60056,1033.2921,0.36671537,228.13309,943.3285,0.96380746,315.1721,1051.6993,0.7056829,320.50107,1059.8944,0.8663026,378.4869,1238.0802,0.8279525,407.41757,1239.6791,0.92250854,365.22348,1419.7924,0.9222417,368.74625,1450.7516,0.9308571
600.4718,903.41754,0.9686709,604.6669,888.2624,0.9252157,597.5381,884.5361,0.98180366,555.5824,873.2298,0.74708164,556.65344,873.6888,1.0182372,498.84836,924.0616,0.76388514,495.0201,935.37286,0.8927307,365.69333,970.9201,0.41750205,350.38846,954.3393,0.9214181,385.29868,1049.9114,0.47218835,226.55502,954.7784,0.9595759,322.78366,1067.187,0.62640107,315.07016,1069.6792,0.816484,389.275,1237.5798,0.78490317,418.79794,1237.1494,0.9578671,361.72287,1415.6975,0.89876056,370.04953,1446.9417,0.9201575
596.32825,914.8928,0.984522,599.44275,899.3408,0.9025085,592.56824,897.3832,0.9908788,552.5049,890.7352,0.7444142,553.1168,890.8634,0.97794175,495.62924,942.2429,0.8364961,483.64944,953.2383,0.91418624,360.3171,990.4121,0.5049535,347.75558,986.2196,0.9184811,226.29391,992.1006,0.50805473,218.37283,992.4458,0.90001744,316.99808,1075.968,0.6469246,310.35043,1081.7836,0.8365371,398.7593,1242.4497,0.7813692,427.51657,1242.4419,0.94587284,363.1201,1414.24,0.91796875,367.1451,1442.9434,0.89455044
589.62537,918.42914,1.0071248,590.2809,903.27716,0.9296062,583.8863,900.684,0.9987842,541.561,896.4759,0.7817615,543.39594,896.1153,0.98401093,487.6925,954.12396,0.85085475,475.649,958.264,0.9358532,356.0827,1017.7128,0.577208,348.49615,1018.9764,0.91628075,237.17542,1060.7603,0.7121768,231.87897,1061.7375,0.883497,329.1584,1098.7283,0.64297724,321.43658,1106.1516,0.80874294,413.36096,1251.4414,0.7933563,438.99445,1251.0012,0.9469841,363.21545,1417.8242,0.9334481,368.55328,1446.6763,0.8993492
577.55615,910.4541,0.9667044,578.29614,894.23145,0.9043271,570.37036,890.5731,0.9401975,526.7716,886.07104,0.7206658,527.3688,886.06824,1.0002389,463.73703,938.41296,0.8408307,474.0856,960.7478,0.8952683,372.48306,1043.0901,0.5048794,383.10562,1067.6714,0.9032256,283.86716,1150.2854,0.3648031,285.0342,1168.2798,0.7777308,296.00186,1083.8433,0.71530735,315.22513,1095.5164,0.7476732,426.92972,1250.8468,0.7679826,452.7715,1253.9647,0.89557344,362.47708,1415.2251,0.8538021,371.61655,1450.302,0.8893577
553.03284,891.3534,0.9605255,555.1538,877.09314,0.90453714,545.1078,871.5697,0.99927557,499.63412,869.0665,0.7065008,499.54507,866.6461,0.983811,444.39114,931.34827,0.8220081,453.1017,943.98584,0.906326,401.4445,1054.3289,0.49955657,428.00064,1076.5919,0.78019,431.35623,1113.753,0.35106462,426.12833,1198.7358,0.6135327,296.26413,1105.9894,0.68818456,308.87802,1111.3478,0.8183235,432.6564,1252.0342,0.7488161,457.62607,1264.6863,0.8601815,366.83206,1417.0833,0.90112746,375.1851,1448.5631,0.90541327
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
495.36624,833.1697,0.9752819,493.2894,815.8069,0.9232165,483.77054,814.0288,0.9662812,443.4916,821.52454,0.6937512,438.77017,822.34766,0.97183573,423.31277,906.593,0.74878037,420.0341,914.0574,0.90084267,542.5399,984.6218,0.8284072,538.63416,998.55725,0.85555696,658.63464,1025.2847,0.86674154,651.9248,1057.4598,0.79124,320.01065,1110.5776,0.6445949,317.44003,1117.6682,0.87305176,447.00113,1259.5492,0.7679393,464.39993,1263.3624,0.93657494,373.60513,1419.9147,0.8961874,382.5635,1450.4393,0.8870088
472.0698,804.96936,0.9992063,467.2267,789.521,0.916999,458.40067,787.6371,1.009656,412.49173,796.80664,0.71362674,413.09903,796.08264,0.9938682,416.18253,874.541,0.7823544,411.59012,871.54785,0.88198197,549.1986,898.89307,0.7872608,540.4894,894.7374,0.8110741,670.9614,890.49146,0.8248891,678.29565,889.00183,0.8270123,321.1481,1097.0857,0.693068,323.3552,1100.3577,0.88334537,441.98672,1258.0696,0.82503104,462.1127,1261.4265,0.92955154,374.86722,1417.7522,0.85114735,384.87894,1451.3987,0.93016297
439.738,751.68524,0.94492054,432.3016,738.06854,0.9019981,424.13998,736.93,0.9904875,385.29453,754.7155,0.69869506,384.43405,753.283,0.97710454,399.9012,821.7553,0.69032013,400.64682,815.8603,0.90971196,510.44138,803.6967,0.6629681,515.3002,796.9235,0.74641085,626.5608,741.32684,0.5734675,631.3721,738.0463,0.70235646,339.9625,1066.8557,0.6856134,339.30136,1069.1597,0.8432613,439.0225,1249.1035,0.8820969,459.03256,1252.554,0.94191617,381.21188,1412.7617,0.88392454,389.62595,1443.7627,0.9308802
405.34946,693.9057,0.98270905,395.81723,679.7719,0.94300365,388.4786,679.3127,0.9981135,349.65793,699.29755,0.7555703,347.05954,697.65985,0.98983073,382.77097,771.5467,0.8290888,372.02927,763.69293,0.91057,489.05734,714.09674,0.44329813,490.50046,707.53485,0.72935236,578.0188,629.77826,0.67405367,584.1842,623.2929,0.77740586,358.39865,1026.5156,0.7299846,361.07126,1028.7383,0.843168,428.02213,1227.5972,0.7919745,452.4946,1234.9272,0.8559491,386.23325,1401.5398,0.89005256,400.68454,1433.8083,0.9416012
354.71814,638.1887,0.9603768,343.56165,625.72217,0.8862562,334.9615,629.43787,0.9285798,309.78345,653.3789,0.72765553,299.59247,656.91296,1.0013404,350.75134,721.1356,0.9321622,336.4663,722.2157,0.95848316,458.22424,640.10583,0.81393695,454.59912,635.1316,0.849952,527.11865,563.54944,0.79928875,529.359,553.49585,0.8509823,406.96545,975.8168,0.86669207,393.0658,980.5879,0.8705127,425.604,1178.7849,0.79616857,428.61664,1188.0311,0.86440766,405.29132,1369.1399,0.8858634,415.49622,1398.173,0.9161406
304.2846,602.1004,1.0075252,292.6681,590.2131,0.8968892,284.82306,595.2797,0.94986624,259.9049,625.13837,0.73919296,257.20453,626.86383,0.9795181,313.3728,685.1796,0.8690438,307.80182,687.2735,0.9558863,420.10016,611.48016,0.83976984,415.88965,599.0522,0.93931943,486.04193,522.18805,0.8303992,492.77246,507.33295,0.90438384,411.83374,915.1695,0.78538847,413.28918,918.12897,0.8504845,449.623,1108.9797,0.8041047,464.73145,1106.9365,0.86492825,417.3968,1316.0459,0.7344779,418.30737,1322.259,0.91039836
267.66174,576.73065,0.94078267,252.95245,566.6889,0.89763093,248.46185,571.935,0.9814151,223.41779,609.03656,0.70887715,224.81842,607.0307,0.9225769,288.98218,667.46564,0.88184416,281.49823,666.80975,0.95330644,399.3869,598.3129,0.8247398,394.0644,576.3029,0.9768901,460.88983,512.2692,0.8804598,475.78387,476.4947,0.8973485,417.23724,867.5638,0.7628472,414.89563,870.8897,0.8815229,504.34808,1048.6658,0.76580286,523.02094,1048.6338,0.9046176,425.28143,1230.5764,0.759619,424.92377,1242.208,0.9529122
