0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
122.61726,1022.83844,0.93325436,133.89082,1016.20624,0.93455476,126.607285,1014.07574,0.9287064,165.00539,1029.9832,0.97299206,160.33531,1028.5918,0.66090727,183.2465,1079.7859,0.90143216,183.00334,1064.7651,0.75842977,266.73254,1092.8682,0.97109777,271.12567,1079.1411,0.83535135,348.59857,1096.9692,0.9291096,341.41718,1086.1504,0.977263,281.93286,1181.1428,0.85292506,268.12134,1177.125,0.6983783,195.04005,1287.5781,0.8651166,191.8231,1269.156,0.76836455,225.35493,1404.9653,0.85247505,218.98076,1389.6555,0.8522419
121.78595,1041.8826,0.95600486,133.09573,1035.7864,0.9771973,126.69473,1033.5579,0.9221317,162.24615,1052.2251,0.9395619,160.0361,1051.0176,0.7041513,180.46143,1100.3604,0.8862258,189.78952,1077.9265,0.74507076,269.23087,1095.5488,0.88536906,268.4712,1076.728,0.8333074,346.67667,1078.9819,0.91952264,336.71585,1065.0518,0.9501069,284.56805,1196.384,0.8432475,272.20438,1190.0933,0.67654836,185.32388,1294.6084,0.9464084,184.56845,1267.6963,0.94349504,223.60678,1402.9973,0.89767766,217.8804,1382.4817,0.8644211
123.16356,1061.2137,0.95366603,135.11043,1054.85,0.9676975,128.52464,1052.957,0.9206811,164.6718,1073.7261,0.97135663,161.91774,1072.4899,0.62002707,180.48561,1121.4438,0.9273801,186.12675,1099.5947,0.7553903,268.63306,1103.7651,0.93928725,270.71692,1085.3785,0.8542322,341.54132,1079.4749,0.9509946,333.04584,1068.312,0.89314985,286.08356,1213.7812,0.8202499,273.78082,1204.2748,0.63561773,177.74516,1298.8965,0.87315637,176.9702,1273.0201,0.93266714,221.80113,1404.104,0.8815945,218.6845,1385.8854,0.8621531
125.91792,1080.1013,0.9640706,138.90794,1075.0166,0.9583646,130.77562,1071.5586,0.9389305,167.687,1092.5477,0.9456872,165.17094,1089.758,0.53456694,183.79204,1141.3301,0.88329613,193.90425,1113.2544,0.7109382,271.78992,1126.5205,0.915201,266.39673,1104.7554,0.7710373,345.1994,1102.7511,0.9693437,321.87793,1082.1489,0.9094503,285.18585,1231.9617,0.8107625,268.39386,1218.8912,0.5751292,170.67348,1307.0885,0.91601574,170.33653,1274.3607,0.91224873,219.26741,1405.9729,0.9290789,209.60307,1383.9613,0.71480376
132.2812,1087.2601,0.9774891,145.47969,1085.0049,0.95568484,139.58553,1079.2545,0.9506351,169.80757,1105.7328,0.95722264,171.13084,1103.8253,0.5731486,188.03847,1157.9053,0.8640905,189.43901,1127.8857,0.7062006,273.36792,1157.6602,0.9275082,270.39545,1127.6321,0.8328216,355.08948,1150.3867,0.95193607,337.00568,1118.4429,0.8870616,281.60797,1247.6586,0.74777985,275.74835,1227.644,0.50953996,161.49382,1312.2856,0.8592715,163.73967,1276.9539,0.9324832,217.67482,1409.8555,0.8900771,209.6949,1382.3824,0.7208377
143.4947,1085.6976,0.95310056,157.01802,1082.9014,0.9500573,150.36479,1078.122,0.9429379,180.65327,1105.077,0.950824,177.49367,1102.6083,0.50979555,200.02827,1161.313,0.82661736,188.67561,1137.2144,0.72090197,280.45306,1199.8257,0.90112174,267.182,1158.0895,0.851578,355.15674,1222.11,0.93222046,333.03394,1175.1687,0.9753225,276.88434,1257.6838,0.755597,260.46478,1240.6356,0.606364,153.0948,1316.3219,0.9127671,155.36656,1279.1271,0.9708847,213.5808,1410.0009,0.8839676,206.96193,1385.4282,0.7559049
163.8493,1073.4108,0.9739988,177.55585,1071.0974,0.95366293,170.54099,1065.9165,0.97330105,200.4776,1093.145,0.95703983,194.3794,1090.6057,0.5192399,211.89041,1149.8602,0.8171541,191.93933,1130.1536,0.8785025,260.65573,1235.7468,0.8855591,255.39008,1195.7455,0.22860532,310.57562,1303.5696,0.9326985,242.0835,1234.155,0.1738355,273.07376,1261.2532,0.7490579,246.72406,1243.9843,0.62747836,147.59998,1317.721,0.90975654,149.28302,1282.1016,1.0051461,209.52313,1407.9349,0.8739087,202.16202,1380.6332,0.72790575
193.64561,1060.612,0.9657514,206.291,1057.2336,0.9530907,199.7896,1053.4766,0.96206033,229.21873,1078.0928,0.9484849,220.8012,1074.7528,0.5899992,233.62248,1137.5471,0.8875191,219.53749,1125.0895,0.8133668,223.96837,1249.9424,0.85275304,229.81804,1224.0874,0.46310204,212.75319,1344.8733,0.9769155,188.05565,1265.6469,0.1590294,273.17023,1263.655,0.77682406,255.85179,1246.907,0.664824,142.87129,1315.2996,0.8821163,146.38042,1279.0778,1.0188222,208.42247,1407.9025,0.8224181,220.40007,1386.9634,0.7042606
224.85977,1050.9615,0.9668157,237.24332,1047.5085,0.93490803,230.3729,1044.0771,0.94579124,261.16513,1068.0978,0.977615,248.62387,1063.2875,0.56145024,259.79398,1132.4039,0.8886,240.91098,1118.0557,0.8855858,190.97342,1217.428,0.8790164,185.10709,1185.3966,0.90892696,110.96002,1281.9601,0.8903551,122.44327,1232.585,0.9392242,274.46594,1263.7991,0.80042195,247.34311,1244.382,0.8648117,145.982,1312.9021,0.8895768,144.15024,1282.6282,0.89971864,203.20303,1408.994,0.90502214,200.07413,1387.4719,0.79274213
253.7914,1042.0505,0.97790164,266.01782,1038.4498,0.94207144,258.85858,1035.2987,0.9042499,288.57703,1061.4398,0.96340024,271.50885,1054.1161,0.53466463,276.53485,1123.8298,0.89373994,252.3921,1106.5807,0.86514777,186.12642,1149.7598,0.91408765,177.42961,1129.4172,0.86730623,93.33046,1146.3916,0.94295466,96.00575,1126.5122,0.9185864,275.82428,1259.8936,0.8051933,253.5226,1240.6278,0.8663479,147.01064,1308.0231,0.9241123,146.17717,1277.3768,0.98454034,198.9117,1411.5236,0.87817824,193.99977,1386.4149,0.8218573
288.40372,1027.7354,0.9600134,300.05298,1029.0935,0.9877689,295.94357,1023.7259,0.92110646,312.05188,1055.5935,1.0221906,301.30127,1047.1511,0.61591613,296.35614,1107.3518,0.95417106,272.49994,1085.0615,0.88039166,213.75177,1074.9741,0.9245217,212.22287,1064.9644,0.662972,160.99573,1013.0732,0.8861774,164.42392,1014.925,0.77802765,277.5374,1247.4829,0.8636508,255.31348,1231.1519,0.85074246,149.9697,1304.8711,0.8901422,147.42426,1273.9033,0.956637,193.67465,1408.1875,0.93463874,187.89548,1383.7288,0.8126867
315.68994,1013.6231,0.90777504,328.92944,1015.4849,0.9692913,323.4447,1008.75287,0.89280593,339.0633,1042.4404,0.9986801,328.88763,1031.4751,0.64657265,313.0808,1075.2759,0.8870336,294.9568,1063.7239,0.88308084,271.23364,1009.36017,0.89194715,247.42342,1003.2155,1.0096679,265.5794,941.7128,0.9908156,243.41835,943.5661,0.9711782,273.2978,1226.8489,0.86107653,254.1833,1212.5508,0.9058776,153.69637,1298.6609,0.9010692,148.5111,1268.9951,0.99171907,188.07475,1409.2954,0.92965704,183.18959,1383.7646,0.7879927
350.53604,1003.9226,0.9002662,359.74747,1003.6124,0.9156754,356.15622,999.5283,0.81169033,369.8334,1029.0054,1.0051129,358.82553,1020.01575,0.68220854,341.7726,1057.3468,0.92231405,322.9744,1044.8022,0.95665205,331.08817,984.59485,0.96649164,298.21298,978.47205,1.0218145,348.39188,924.49536,0.9131974,313.4777,922.24023,0.99393517,267.16483,1195.539,0.89738744,248.75723,1183.3458,0.87807,158.27878,1284.8597,0.93284327,149.76855,1260.6416,0.94816875,182.91605,1402.456,0.961649,177.44376,1377.3551,0.8170348
398.51627,1002.17993,0.84328187,406.58774,1002.4889,0.90474784,403.93185,999.1797,0.76633906,408.57565,1026.0,0.97515833,402.03848,1016.28455,0.6427349,373.67563,1050.1533,0.87913746,353.58072,1028.9518,0.98096585,380.06357,970.4796,0.92017585,337.1511,965.1365,1.0309299,406.73276,921.5604,0.89947265,362.8773,916.7666,1.016844,259.75504,1155.2322,0.8523086,244.14334,1142.3287,0.8947211,172.03635,1263.1617,0.93191254,159.59952,1251.8348,0.96037054,174.43457,1396.213,0.9480269,172.53903,1362.1519,0.9774195
419.6584,1002.2092,0.8059568,428.63,1005.5687,0.87349796,426.08685,1001.20996,0.73831135,429.54974,1032.0801,0.96082705,426.77692,1021.31384,0.56512886,394.8288,1046.1746,0.9190424,372.22772,1022.7317,0.87535095,409.64374,977.4332,0.9896296,360.39386,964.8351,0.9785561,438.73053,931.2998,0.9091484,393.2544,924.8552,0.96452236,267.46167,1119.9369,0.8520348,252.98132,1107.7787,0.87521106,172.8641,1223.5648,0.9345638,167.06738,1221.4711,0.96599823,173.19235,1352.8864,0.9618203,171.09341,1340.705,0.84918535
552.7241,987.4782,0.7793007,550.25244,984.42194,0.5462438,551.9159,984.82587,0.8422346,536.9887,985.46295,0.9201118,549.8105,986.2105,0.8864732,530.8533,1002.05524,0.94861525,550.9053,1002.0046,0.9483348,525.5144,1021.79803,0.87441576,553.5192,1026.0161,0.8271843,524.2565,1036.4854,0.8386761,558.73,1042.2043,0.7984296,532.3858,1036.7092,0.7801238,547.4427,1037.2837,0.7556058,532.2393,1068.4534,0.8613938,554.4662,1069.3965,0.8654071,521.7861,1096.3379,0.86546516,559.9947,1099.406,0.8814714
462.51358,1031.0789,0.8127749,470.84042,1041.5792,0.87376,470.67905,1033.7595,0.76400036,457.70346,1062.3337,0.9119896,461.71603,1046.7396,0.39196658,423.24203,1054.6725,0.95400727,398.37595,1024.3658,0.68502986,424.63754,996.52576,1.0363035,369.0228,974.77637,1.0131737,457.07248,948.2754,0.902488,402.8635,934.6354,1.0190914,293.16147,1081.5709,0.86066955,282.89316,1067.6136,0.8293997,164.87546,1116.4773,0.9423535,163.05057,1113.1313,0.932582,185.7753,1233.4246,1.0021038,186.75894,1227.226,0.97739613
840.6291,1112.8362,0.7852981,840.3364,1108.3247,0.57997906,838.04816,1107.8452,0.85686195,808.9289,1104.0664,0.91790825,831.3118,1107.4019,0.9347671,792.7218,1115.8789,0.90109414,833.56,1124.4275,0.81992066,767.6978,1152.7319,0.6180725,851.5528,1170.0144,0.74836725,751.26587,1188.1011,0.78764445,866.74457,1198.7727,0.7832815,776.83826,1151.4539,0.75262207,808.32745,1153.9468,0.68645597,793.49854,1204.5244,0.7206627,814.2674,1206.5588,0.76011324,793.6982,1189.9646,0.4995338,801.65936,1189.1934,0.51482874
601.6697,988.1067,0.96534204,601.746,984.75073,0.9214322,600.99805,984.58167,0.97497964,589.2636,982.6605,0.8158595,595.87787,983.6448,0.9485688,578.0459,997.3452,0.9250136,593.25214,999.8148,0.9136724,571.3058,1014.9977,0.8759728,595.2342,1023.7251,0.9043292,577.3653,1026.1051,0.48620236,597.1027,1042.2694,0.86178756,574.74725,1038.0837,0.77125764,587.6012,1040.5199,0.76920867,575.3891,1078.7316,0.8385984,584.8307,1081.8313,0.871398,572.99963,1105.8948,0.91401154,582.4598,1113.5114,0.7892698
476.3255,1061.5693,0.7931107,484.14404,1071.5859,0.6754396,482.9942,1064.5696,0.58159596,475.4679,1099.0225,0.7596234,477.33752,1096.1104,0.44048214,440.80164,1080.9541,0.85840845,427.36328,1063.598,0.55001223,417.48682,1023.69104,0.9570215,376.37573,1003.70056,0.9874536,415.761,953.27747,0.9226228,372.08716,943.14075,1.0056356,319.96698,1080.38,0.87603843,310.36212,1069.486,0.66743183,288.28754,965.2977,0.95252955,251.726,965.4331,0.9575665,196.44386,1041.1475,0.8409754,188.60094,1053.2036,0.7859983
472.99286,1083.022,0.682119,476.64178,1093.0479,0.6885183,478.22577,1088.1895,0.5544203,466.99536,1118.5222,0.7726269,476.19006,1119.9307,0.4832315,437.43158,1099.1631,0.85213053,434.3061,1090.9382,0.6674487,407.2221,1036.8926,0.7975737,378.09906,1008.3848,0.9022373,399.69183,963.48395,0.68159354,377.54742,952.0136,0.7650162,314.26434,1076.3665,0.8654614,307.396,1066.654,0.71663797,339.80676,964.9317,1.0238142,329.6341,957.0727,0.8220076,215.64516,972.6912,0.824716,194.35103,984.17487,0.7748519
816.0371,1107.3997,0.8187802,815.7977,1102.4478,0.67469656,814.579,1102.578,0.8730645,786.8901,1098.5684,0.83967245,808.56445,1102.4858,0.88727766,768.75745,1110.5603,0.8370544,808.48303,1118.5444,0.7688191,740.76917,1148.9045,0.64337605,824.28326,1165.2898,0.86901283,722.6606,1180.623,0.86593664,838.38275,1205.1895,0.8197006,748.5059,1148.8997,0.62260807,778.81195,1150.985,0.5973432,770.74396,1200.0117,0.68667173,789.17053,1202.2738,0.58312845,746.61487,1230.0935,0.11733821,763.45605,1190.1383,0.15090244
211.29034,974.64935,0.9179709,213.27618,971.17194,0.95384693,212.29205,970.68536,0.8412777,218.73154,973.02155,0.92072487,231.15735,972.0428,0.8685461,214.09448,992.80524,0.94008994,246.13544,994.84064,0.9079717,207.45767,1020.966,0.9349144,253.70258,1020.44135,0.69214135,199.42343,1045.6357,0.9009521,247.41168,1046.5187,0.6136168,218.30853,1049.9655,0.7772256,238.59515,1051.422,0.78617233,212.05212,1089.2499,0.80003524,232.48108,1091.2466,0.81232876,204.73059,1119.7157,0.75166225,235.00943,1125.2075,0.7835165
