Video file: ✅151-Right.MOV, Total frames: 92
Video file: ✅231-Left.MOV, Total frames: 72
Video file: ✅230-Left.MOV, Total frames: 76
Video file: ✅74-Right.mp4, Total frames: 164
Video file: ✅286-Right.MOV, Total frames: 116
Video file: ✅309-Right.MOV, Total frames: 108
Video file: ✅184-Left.MOV, Total frames: 64
Video file: ✅145-Right.MOV, Total frames: 60
Video file: ✅235-Right.MOV, Total frames: 156
Video file: ✅73-Left.mp4, Total frames: 55
Video file: ✅55-Right.mp4, Total frames: 54
Video file: ✅164-Right.MOV, Total frames: 57
Video file: ✅170-Right.MOV, Total frames: 56
Video file: ✅84-Right.mov, Total frames: 109
Video file: ✅41-Right.MP4, Total frames: 95
Video file: ✅17-Right.mp4, Total frames: 62
Video file: ✅256-Right.MOV, Total frames: 105
Video file: ✅304-Right.MOV, Total frames: 92
Video file: ✅132-Right.MOV, Total frames: 76
Video file: ✅242-Right.MOV, Total frames: 153
Video file: ✅79-Right.mp4, Total frames: 54
Video file: ✅238-Right.MOV, Total frames: 131
Video file: ✅87-Left.mov, Total frames: 94
Video file: ✅86-Left.mov, Total frames: 99
Video file: ✅148-Right.MOV, Total frames: 84
Video file: ✅91-Right.mp4, Total frames: 164
Video file: ✅58-Right.mp4, Total frames: 161
Video file: ✅263-Right.MOV, Total frames: 117
Video file: ✅30-Left.MP4, Total frames: 95
Video file: ✅31-Left.MP4, Total frames: 105
Video file: ✅204-Left.MOV, Total frames: 85
Video file: ✅36-Right.MP4, Total frames: 103
Video file: ✅277-Right.MOV, Total frames: 145
Video file: ✅193-Left.MOV, Total frames: 80
Video file: ✅192-Left.MOV, Total frames: 69
Video file: ✅81-Left.mp4, Total frames: 44
Video file: ✅162-Right.MOV, Total frames: 61
Video file: ✅12-Left.mp4, Total frames: 81
Video file: ✅53-Right.mp4, Total frames: 47
Video file: ✅268-Right.MOV, Total frames: 117
Video file: ✅100-Left.MOV, Total frames: 61
Video file: ✅226-Left.MOV, Total frames: 68
Video file: ✅227-Left.MOV, Total frames: 56
Video file: ✅47-Right.mp4, Total frames: 53
Video file: ✅206-Right.MOV, Total frames: 61
Video file: ✅66-Right.mp4, Total frames: 111
Video file: ✅251-Left.MOV, Total frames: 105
Video file: ✅294-Right.MOV, Total frames: 108
Video file: ✅250-Left.MOV, Total frames: 109
Video file: ✅157-Right.MOV, Total frames: 64
Video file: ✅233-Right.MOV, Total frames: 164
Video file: ✅218-Left.MOV, Total frames: 72
Video file: ✅143-Right.MOV, Total frames: 77
Video file: ✅219-Left.MOV, Total frames: 61
Video file: ✅139-Right.MOV, Total frames: 69
Video file: ✅4-Left.mp4, Total frames: 172
Video file: ✅176-Left.MOV, Total frames: 77
Video file: ✅310-Left.MOV, Total frames: 93
Video file: ✅5-Left.mp4, Total frames: 134
Video file: ✅249-Right.MOV, Total frames: 165
Video file: ✅72-Right.mp4, Total frames: 54
Video file: ✅311-Left.MOV, Total frames: 140
Video file: ✅177-Left.MOV, Total frames: 100
Video file: ✅50-Left.mp4, Total frames: 147
Video file: ✅51-Left.mp4, Total frames: 90
Video file: ✅265-Right.MOV, Total frames: 140
Video file: ✅199-Left.MOV, Total frames: 77
Video file: ✅198-Left.MOV, Total frames: 57
Video file: ✅280-Left.MOV, Total frames: 112
Video file: ✅299-Right.MOV, Total frames: 112
Video file: ✅281-Left.MOV, Total frames: 121
Video file: ✅212-Left.MOV, Total frames: 53
Video file: ✅213-Left.MOV, Total frames: 84
Video file: ✅232-Right.mp4, Total frames: 26
Video file: ✅187-Right.MOV, Total frames: 52
Video file: ✅27-Left.MP4, Total frames: 113
Video file: ✅244-right.MOV, Total frames: 121
Video file: ✅302-Right.mov, Total frames: 129
Video file: ✅134-Right.MOV, Total frames: 68
Video file: ✅107.MOV, Total frames: 103
Video file: ✅308-Right.MOV, Total frames: 113
Video file: ✅75-Right.mp4, Total frames: 53
Video file: ✅287-Right.MOV, Total frames: 124
Video file: ✅194-Left.MOV, Total frames: 64
Video file: ✅195-Left.MOV, Total frames: 45
Video file: ✅234-Right.MOV, Total frames: 117
Video file: ✅144-Right.MOV, Total frames: 76
Video file: ✅46-Left.MOV, Total frames: 123
Video file: ✅150-Right.MOV, Total frames: 65
Video file: ✅128.MP4, Total frames: 52
Video file: ✅293-Right.mov, Total frames: 128
Video file: ✅61-Right.mp4, Total frames: 73
Video file: ✅221-Left.MOV, Total frames: 77
Video file: ✅220-Left.MOV, Total frames: 61
Video file: ✅171-Right.MOV, Total frames: 68
Video file: ✅40-Right.MP4, Total frames: 114
Video file: ✅89-Right.mp4, Total frames: 50
Video file: ✅129.MP4, Total frames: 69
Video file: ✅115.MP4, Total frames: 134
Video file: ✅101.MP4, Total frames: 82
Video file: ✅3-Left.mp4, Total frames: 171
Video file: ✅54-Right.mp4, Total frames: 37
Video file: ✅2-Left.mp4, Total frames: 50
Video file: ✅243-Right.MOV, Total frames: 97
Video file: ✅78-Right.mp4, Total frames: 35
Video file: ✅305-Right.MOV, Total frames: 124
Video file: ✅133-Right.MOV, Total frames: 53
Video file: ✅97-Left.mov, Total frames: 135
Video file: ✅149-Right.MOV, Total frames: 65
Video file: ✅239-Right.MOV, Total frames: 133
Video file: ✅56-Left.mp4, Total frames: 76
Video file: ✅117.MP4, Total frames: 129
Video file: ✅103.MP4, Total frames: 121
Video file: ✅16-Right.mp4, Total frames: 91
Video file: ✅257-Right.MOV, Total frames: 141
Video file: ✅215-Left.MOV, Total frames: 84
Video file: ✅214-Left.MOV, Total frames: 72
Video file: ✅37-Right.MP4, Total frames: 118
Video file: ✅15-Right .mp4, Total frames: 95
Video file: ✅9-Left.mp4, Total frames: 52
Video file: ✅8-Left.mp4, Total frames: 68
